%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82187.089,300.456,0.953,25.164,301.72,-0.008,266.121,269.414,270.275,271.532,271.885,267.938,267.969,269.321,270.454,271.185,273.412,268.011,273.056,270.943,271.729,267.904,0.015,-0.024,0.899,0.001,535.048,336.269
82183.058,300.454,0.953,25.158,301.562,-0.008,264.93,267.069,269.526,270.8,270.479,267.418,265.936,267.498,269.112,270.35,273.095,267.054,273.16,271.257,269.86,271.289,0.004,-0.063,0.899,0.001,535.048,336.269
82179.027,300.453,0.953,25.155,301.482,-0.168,266.554,269.86,271.132,271.95,271.56,268.25,267.434,266.746,269.112,271.185,272.038,265.883,272.218,270.001,269.029,267.115,-0.006,-0.043,0.899,-0.001,535.048,336.269
82195.152,300.456,0.953,25.147,301.324,-0.168,265.579,266.623,269.312,270.591,269.397,267.106,267.327,267.926,268.958,271.29,273.412,266.096,273.579,271.466,270.275,269.935,0.025,-0.005,0.899,0.001,535.048,336.269
82183.058,300.456,0.953,25.138,301.087,-0.008,265.796,267.404,269.419,269.546,269.722,265.026,265.402,265.245,268.399,268.888,270.982,265.032,270.543,268.013,267.991,264.408,-0.006,-0.024,0.888,0,535.048,336.269
82183.058,300.454,0.953,25.138,301.087,-0.008,263.089,263.831,267.278,267.559,268.099,264.299,264.118,264.923,266.162,268.053,270.243,264.181,271.276,267.908,267.783,265.874,0.004,-0.024,0.888,-0.001,535.048,336.269
82179.027,300.456,0.953,25.129,300.85,-0.168,262.981,265.841,268.027,268.082,268.965,265.026,265.829,263.958,267.616,268.366,270.032,264.181,270.334,268.117,266.225,263.956,0.015,-0.005,0.909,0.001,535.048,336.269
82179.027,300.456,0.953,25.119,300.613,-0.008,262.439,262.938,265.887,266.304,267.234,263.051,262.834,263.85,265.044,266.07,269.715,262.691,270.334,268.641,267.575,266.212,-0.027,-0.024,0.899,0.002,535.048,336.269
82179.027,300.461,0.953,25.11,300.376,-0.008,263.522,267.181,268.242,269.964,270.371,266.17,266.578,267.068,267.951,267.531,271.194,264.926,270.125,269.164,266.952,265.874,0.015,-0.024,0.929,-0.001,535.048,336.269
82183.058,300.457,0.953,25.096,300.06,-0.008,263.414,266.734,268.884,268.395,268.856,265.442,265.402,265.459,267.28,268.888,270.877,264.713,271.067,268.536,268.055,267.115,0.004,-0.005,0.919,-0.001,535.048,336.269
82179.027,300.456,0.953,25.086,299.823,-0.008,266.012,268.074,271.132,271.323,271.452,267.21,267.755,267.283,268.958,269.514,271.828,265.458,271.486,270.42,267.328,266.776,0.004,-0.024,0.929,-0.001,535.048,336.269
82187.089,300.457,0.953,25.082,299.744,-0.008,264.389,266.958,269.526,270.487,271.019,267.834,267.541,268.033,268.734,270.036,272.99,266.841,273.057,271.362,270.339,266.438,0.004,-0.024,0.939,0,535.048,336.269
82179.027,300.457,0.953,25.073,299.507,-0.008,266.663,266.51,270.489,270.8,271.128,267.626,266.578,266.317,269.181,269.619,271.511,265.458,271.905,269.897,268.262,268.243,0.015,-0.043,0.939,0,535.048,336.269
82187.089,300.461,0.953,25.072,299.507,-0.008,263.956,268.297,269.098,269.755,270.371,266.482,265.722,266.103,268.734,269.41,271.828,267.266,272.324,270.629,269.82,269.145,0.004,-0.005,0.939,0,535.048,336.269
